IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,16.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,34.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,13.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,5.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,16.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,TUR,Turkey,NBR,Number,,,173.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,TUR,Turkey,NBR,Number,,,23.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,107.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,62.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,5.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,11.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,4.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,,,5.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,185.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,162.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,13.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,20.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,36.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,13.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CHL,Chile,NBR,Number,,,20.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,EST,Estonia,NBR,Number,,,66.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,EST,Estonia,NBR,Number,,,60.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,EST,Estonia,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,EST,Estonia,NBR,Number,,,3.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,EST,Estonia,NBR,Number,,,1.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,ISR,Israel,NBR,Number,,,105.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,,,27.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,,,15.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,,,19.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,RUS,Russia,NBR,Number,,,34.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,89.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,19.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,15.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,34.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,19.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,,,15.0,,
TOT_KNOWN,Total number of known species,BIRD,Birds,AUS,Australia,NBR,Number,,,799.0,,
TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,AUS,Australia,NBR,Number,,,782.0,,
